,song,year,artist,genre,lyrics
246525,your-love-means-everything-pt-2-with-faultline,2007,coldplay,Rock,"I slipped away last night
Took me away from sight and the place I know.
All crushed upon my skin
This mess I put you in and the punch i thrown.
It was a strange reaction
for someone like you to remain on side
And in a chain reaction
I was down and calling for a place to hide.
I saw a broken arm
Machines will all break down in the way I know.
Mended and all made clean
I saw up on the screen all the stones I throw.
It was a strange reaction
for someone like you to remain so sure
And in a chain reaction
I dissolve and break and then away I crawl"
246526,how-you-see-the-world-no-2,2007,coldplay,Rock,"Anything we should know about your change?
They put the world in a tin can,
Black market, contraband,
And it hurt just a little bit, when they sliced and packaged it.
In a long black trench coat,
Two hands around the throat,
Ooh you want to get it right sometimes
There's so much to be scared of,
And not much to make sense of,
How did the clowns ever get control?
If your hear can you let me know,
How can they invade it, when it's so complicated?
Ooh you just want to get it right sometimes
You just want to get it right sometimes
That's how you see the world,
How many times can you say, you can't believe what you learn,
That's how you see the world, don't you worry yourself,
You're not gonna give up.
And there's something missing, seems like there's nobody listening,
If you're running in a circle, how can you be too careful?
We don't wanna be man trapped, we don't wanna be shrink wrapped
Ooh, we just want to get it right sometimes,
Just want to get it right sometimes,
That's how you see the world,
How many times have you heard, but you can't believe a word,
That's how you see the world, but don't you worry yourself,
'Cause nobody can hurt you
That's how you see the world
That's how you see the world"
246527,sleeping-sun,2007,coldplay,Rock,"Climb up your mountain, nineteen and countin'
You have got seven, I have got one
Blinded and hurtin', this I'm deserving
I've got my secrets, you've only got the sleeping sun
When you've got a secret then you've got to keep it
When you have a question, answers will come
Running and hiding, take and dividing
You've got your secrets, I've only got a sleeping sun
Sleeping sun
Singing
Ooh, ooh, ohh, ohh
Ahh, ohh, ahh, ohh
And you, as I saw, a piece in a jigsaw
Run up and around it and jump up real tall
Run round the houses north and the south is
You've got your answers, we've only got a sleeping sun"
246528,kingdom-come-hidden-track,2007,coldplay,Rock,"Steal my heart and hold my tongue
I feel my time, my time has come
Let me in, unlock the door
I've never felt this way before
And the wheels just keep on turning
The drummer begins to drum
I don't know which way I'm going
I don't know which way I've come
Hold my head inside your hands
I need someone who understands
I need someone, someone who hears
For you, I've waited all these years
For you I'd wait 'til kingdom come
Until my day, my day is done
And say you'll come and set me free
Just say you'll wait, you'll wait for me
In your tears and in your blood
In your fire and in your flood
I hear you laugh, I heard you sing
I wouldn't change a single thing
And the wheels just keep on turning
The drummers begin to drum
I don't know which way I'm going
I don't know what I'll become
For you I'd wait 'til kingdom come
Until my days, my days are done
And say you'll come and set me free
Just say you'll wait, you'll wait for me
Just say you'll wait, you'll wait for me
Just say you'll wait, you'll wait for me"
246529,poor-me,2007,coldplay,Rock,"Pour me, floatin' out to see
An opportunity that went by
Pour you, now what you gonna do?
Now what you gonna do? You just cry
Pour me, so blind I couldn't see
The flowers for the trees, I don't know why
Pour you, you split yourself in two
Now what you gonna do? You just cry
I hear you come nearer
I hear you but I don't understand
I hear you come nearer
I hear you but I don't understand
Pour me, floatin' out to see
An opportunity that went by
Pour you, now what you gonna do?
What you gonna do? You just cry
I hear you come nearer
I hear you but I don't understand
I hear you come nearer
I hear you but I don't understand
I don't understand
I don't understand
For feel [Incomprehensible]
Strong at alley, I'm gonna feel it now
I'm gonna feel it now, sing, say, say"
246530,lips-like-sugar,2007,coldplay,Rock,"She floats like a swan
Grace on the water
Lips like sugar
Lips like sugar
Just when you think you've caught her
She glides across the water
She calls for you tonight
To share this moonlight
She'll flow down your river
And ask him and she'll give you
Lips like sugar
Sugar kisses
Lips like sugar
Sugar kisses
She knows what she knows
I know what she's thinking
Sugar kisses
Sugar kisses
Just when you think she's yours
She's flown to other shores
To laugh at how you break
To melt into this lake
She'll flow down your river
And ask him and she'll give you
Lips like sugar
Sugar kisses
Lips like sugar
Sugar kisses
She'll be my mirror
Reflect what I am
A loser and a winner
The King of Siam
And my Siamese twin
She knows what I'm thinking
???
She'll flow down your river
And ask him and she'll give you
Lips like sugar
Sugar kisses
Lips like sugar
Sugar kisses"
246531,2000-miles-cover,2007,coldplay,Rock,"She's gone 2000 miles, it's very far
The snow came down
Gets colder day by day, I miss her
I hear children singin'
It felt like Christmas time
In these frozen and silent nights
Sometimes in a dream you appear
Outside under the purple sky
Diamonds in the snow sparkle
And our hearts were singin'
It felt like Christmas time
2000 miles is very far through the snow
I think of you wherever you go
2000 miles is very far through the snow
I think of you wherever you go
She's gone 2000 miles, it's very far
The snow came falling now
Gets colder day by day, I miss you
I hear people singin'
It felt like Christmas time
I hear people singin'
It felt like Christmas time
I hear people singin'
It felt like Christmas time
I hear people singin'
It felt like Christmas time"
246532,wath-s-going-on,2007,coldplay,Rock,"Bono: Mother, mother
There's too many of you crying
Chris: Brother, brother, brother
There's too many of you dying
You know you've got to find a way
To bring some lovin' here to stay
Bono: Father, father We don't need to escalate
And war is not the answer
For only love can conquer hate
Chris: You know we've got to find a way
To bring some lovin' here to stay
Picket lines won't block our way
Bono: Don't punish me with brutality
Talk to me, and you can see
What's going on What's going on
What's going on What's going on
Father, father,
everybody thinks we're wrong
But who are they to judge us
Together we can be strong
Chris: You know we've got to find a way
To bring some lovin' here to stay
Picket lines won't block our way
Don't punish me with brutality
Talk to me, so you can see
What's going on, What's going on
What's going on, What's going on
What's going on, What's going on
What's going on, What's going on"
246533,have-yourself-a-merry-little-christmas,2007,coldplay,Rock,"Have yourself a merry little Christmas
Let your heart be light
From now on, our troubles will be out of sight
Have yourself a merry little Christmas
Make the Yuletide gay
From now on, our troubles will be miles away
Here we are as in olden days
Happy golden days of yore
Faithful friends who are dear to us
Gather near to us once more
Through the years we all will be together
If the fates allow
So hang a shining star upon the highest bough
And have yourself a merry little Christmas now
Have yourself a merry little Christmas
Let your heart be light
From now on, our troubles will be out of sight
Have yourself a merry little Christmas
Make the Yuletide gay
From now on, our troubles will be miles away
Here we are as in olden days
Happy golden days of yore
Faithful friends who are dear to us
Gather near to us once more
Through the years we all will be together
If the fates allow
So hang a shining star upon the highest bough
And have yourself a merry little Christmas now"
246534,marianne,2007,coldplay,Rock,"Come on Marianne
The sun sets in your eyes
I'm in love again
Come on once or twice
Wanna be your air?
Come on now, all I see
Wanna ride along
Follow all our dreams
Kaleidoscopes that fall into the sun
Gonna lay the blame on me, not anyone
Gonna write a song
Sing it to the sun
Don't tell anyone
Don't tell anyone
Oh, sweet Marianne
You're the only one I've ever loved
And I swear it on
Swear it on the moon and stars above
I wanna understand
And, I wanna be your man
I wanna be your man
Swear it on the moon and stars
I will full moon ride
Just a part of me
Gonna write a song and see how a woman feel
Come on get it on right into the sun
Gonna ride along and fly, gonna let it on
Oh, sweet Marianne
You're the only one I've ever loved
And I swear it on
Swear it on the moon and stars above
In my head you're the only one I've ever loved
I wanna be your man
You're the only one I've ever loved
Oh, don't you love me
Oh, don't you love me
Don't you love me
Oh, don't you love me
Yeah yeah yeah
Yeah yeah yeah yeah yeah yeah yeah
Yeah yeah yeah yeah yeah yeah yeah
Yeah yeah yeah yeah yeah yeah yeah
Oh yeah"
246535,beautiful-world,2007,coldplay,Rock,"Bones are sinking like stones
All that we fall for
Homes places we've grown
All of us are done for
And we live in a beautiful world
(Yeah we do, yeah we do)
We live in a beautiful world
Bones sinking like stones
All that we've fall for
Homes places we've grown
All of us are done for
And we live in a beautiful world
(Yeah we do, yeah we do)
We live in a beautiful world
And we live in a beautiful world
(Yeah we do, yeah we do)
We live in a beautiful world
Oh, all that I know is nothing to run from
'Cause yeah everybody here
Got's somebody to lean on"
246536,1-36,2007,coldplay,Rock,"Stuck in a corner
Are monkeys in cages
That don't have a number
To fight one another
Try to recover
Climb up the ladder
Look up and you see birds
Blind as each other
How long can we suffer?
We're as blind as each other
On the cloud that you're sitting
There's one born every minute
So much to discover
I've become a believer
Sisters and brothers
Who fight one another
Will mourn and deceive us
Will find us and keep us
Take us or leave us
How soon is now? yeah
How long is never?
I'm nothing but normal
With something together
Come on and stick together
On the cloud that you're sitting
There's one born every minute
So much to discover
I've become a believer"
246537,what-the-world-needs-now-is-love,2007,coldplay,Rock,"What the world needs now
Is love, sweet love
It's the only thing
That there's just, too little of
What the world needs now
Is love, sweet love
No, not just for some
But for everyone
Lord we don't need another mountain
There are mountains and hillsides enough to climb
And there are oceans and rivers enough to cross
Enough to last, till the end of time
What the world needs now
Is love, sweet love
It's the only thing
That there's just, too little of
What the world needs now
Is love, sweet love
No, not just for some
But for everyone
Lord, we don't need another meadow
There are cornfields and wheat fields enough to grow
And there are sunbeams and moonbeams enough to shine
So listen Lord, if You want to know
What the world needs now
Is love, sweet love
It's the only thing
That there's just, too little of
What the world needs now
Is love, sweet love
No not just for some
But for everyone
Huh, more love
Uhh, more love
Everybody know that
Everybody, everybody knows that
This world, whole world
The whole world, the whole world
There's not enough
There's not enough
There's not enough
..."
246538,i-ran-away,2007,coldplay,Rock,"One, two, three... well
I ran away from you
That's all I ever do
And though I started here
I ran away from you
I'm gonna come on in
And see it through
I ran away from you
That's all I ever do
And when I heard you call to
Come back to me
And though I should stay
I don't have the stomach to
Everyone I know
Says I'm a fool mess with you
Everyone I know
Says it's a stupid thing to do
I have your love on call
And yet my day is not so full
There might be nothing left to do
So I ran away from you
I'm gonna come on in
My eyes are closed
I can feel it there
The sun's so close
I'm gonna come on out
And burn the sky
A star arose in my own cage
I'm stuck in line
And in a cage
Just a single star
I sing for
Everyone I know
Says I'm a fool mess with you
Everyone I know
Says it's a stupid thing to do
I have your love on call
And yet my day is not so full
And I did not know what to do
And so I ran away from you"
