,song,year,artist,genre,lyrics
246549,till-kingdom-come,2007,coldplay,Rock,"Steal my heart and hold my tongue
I feel my time, my time has come
Let me in, unlock the door
I've never felt this way before
And the wheels just keep on turning
The drummer begins to drum
I don't know which way I'm going
I don't know which way I've come
Hold my head inside your hands
I need someone who understands
I need someone, someone who hears
For you, I've waited all these years
For you I'd wait 'til kingdom come
Until my day, my day is done
And say you'll come and set me free
Just say you'll wait, you'll wait for me
In your tears and in your blood
In your fire and in your flood
I hear you laugh, I heard you sing
I wouldn't change a single thing
And the wheels just keep on turning
The drummers begin to drum
I don't know which way I'm going
I don't know what I'll become
For you I'd wait 'til kingdom come
Until my days, my days are done
And say you'll come and set me free
Just say you'll wait, you'll wait for me
Just say you'll wait, you'll wait for me
Just say you'll wait, you'll wait for me"
246550,things-i-don-t-understand,2007,coldplay,Rock,"How tides control the sea, and what becomes of me
How little things can slip out of your hands
How often people change, no two remain the same
Why things don't always turn out as you plan
These are things that I don't understand
Yeah, these are things that I don't understand
I can't, and I can't decide
Wrong, all my wrong from right
Day, all my day for night
Dark, all my dark for light
I live, but I love this life
How infinite is space, and who decides your fate
Why everything will dissolve into sand
How to avoid defeat, when truth and fiction meet
Why nothing even turns out how you planned
These are things that I don't understand
Yeah, these are things that I don't understand
I can't, and I can't decide
Wrong, all my wrong from right
Day, all my day for night
Or dark, all my dark for light
I live, but I love this life"
246551,proof,2007,coldplay,Rock,"So I waited for you
What wouldn't I do?
And I'm covered it's true
I'm covered in you
If I ever want proof
I find it in you
Yeah I honestly do
In you I find proof
Light, dark
Bright spark
Light, dark, and then light
So I waited all day
What wouldn't I say
And all the thing in you way
Things happen that way
And if I ever want proof
Then I find it in you
Yeah I honestly do
In you I find proof
Light, dark
Bright spark
Light, dark, and then light
Light, light, light... light..."
246552,the-nappies,2007,coldplay,Rock,"Sometimes you're happy sometimes you frown,
with your hormones bouncing up and down.
Sometimes you're happy sometimes you're sad
it's a weird nine months with you I've had.
There is shit going down that you can't disguise
when you boobs gone up ten times in size,
your cups gone up from an A to D,
its bad for you but its fun for me.
Now just because a little rumpy pump,
now you're walking round with a great big bump
You might think a bit of French and you should have said non
Or at least you would have made me put a condom on
I think you might find that its really fun
I know its no use unless you make it bun
its something to learn yeah it really is,
now you know what that sticky stuff is
I'll be there with you baby through the thin and the thick
I'm gonna clean up all the poo and the sick
I'll be there to make you happy and keep everything clean
I'll change the nappies through the washing machine
'Cause I ain't no baddy, I ain't no baddy,
I ain't no baddy, I am your baby's daddy.
Oh!
Who!
Sometimes you think ""what a fool I am""
and ""why did i marry this awful man?""
Now a baby's part of my family plan
can it kick me well yes it can
My name's Ken and I've got three
do you like being a daddy?
Yeah, definitely!
Well I have to warn you although its fun
there are times when you wish you had been a nun
I'll be there with you baby through the thin and the thick
I'm gonna clean up all the poo and the sick
I'll be there to make you happy and I'll bring in the bread
I'll be the nanny you can go out instead
I know that you'll be grumpy, that's what everyone says
and you're not going to hump me for 43 days
If you don't want more babies and you cannot disguise it,
Then I'll take my cock and vasectimize it
'Cause I ain't no baddy, I ain't no baddy,
sometimes I make you saddy
I ain't no baddy
I ain't no baddy I ain't no baddy I am your baby's daddy
(beat box)
Mother!
Mother!
I ain't no baddy I ain't no baddy
I ain't no baddy I am you're baby's daddy
Ho!
Break it down now,
She told me to crawl this way, bawl this way
She told me to crawl this way, bawl this way
She told me to crawl this way, bawl this way
She told me to crawl this way, bawl this way"
246553,atlas,2013,coldplay,Rock,"Some saw the sun
Some saw the smoke
Some heard the gun
Some bent the bow
Sometimes the wire must tense for the note
Caught in the fire, say oh
We're about to explode
Carry your world, I'll carry your world
Carry your world, I'll carry your world
Some far away
Some search for gold
Some dragon to slay
Heaven we hope is just up the road
Show me the way, Lord, 'cause I, I'm about to explode
Carry your world, I'll carry your world
Carry your world, I'll carry your world
Carry your world, and all your hurt
(Carry your world, carry your world)"
246554,ballad-of-the-soldier-s-wife,2013,coldplay,Rock,"What was sent to the soldier's wife
From the ancient city of Prague
From Prague came a pair of high heeled shoes
With a kiss or two came the high heeled shoes
From the ancient city of Prague.
What was sent to the soldier's wife
From Oslo of the sound
From Oslo they came
What a collar fur
How it pleases her
The little collar fur
From Oslo of the sound
What was sent to the soldier's wife
From the wealth of Amsterdam
From Amsterdam he got her a hat
She looked sweet in that
In her little Dutch hat
From the wealth of Amsterdam
What was sent to the soldier's wife
From Brussels in Belgium land
From Brussels he sent her laces so rare
To have and to wear
All those laces so rare
From Brussels in Belgium land
What was sent to the soldier's wife
From Paris city of light
In Paris he got her a silken gown
It was ended in town that silken gown
From Paris city of light
What was sent to the soldier's wife
From the South Bucharest
From Bucharest he sent her shirt
Embroidered and pert that Romanian shirt
From the South Bucharest
What was sent to the soldier's wife
From the far of Russian land
From Russia they came just a widow's veil
From a dead to bewailed in the widow's veil
Far of Russian land"
246555,hardest-part,2005,coldplay,Rock,"And the hardest part
Was letting go, not taking part
Was the hardest part
And the strangest thing
Was waiting for that bell to ring
It was the strangest start
I could feel it go down
Bittersweet I could taste in my mouth
Silver lining the cloud
Oh and I
I wish that I could work it out
And the hardest part
Was letting go, not taking part
You really broke my heart
And I tried to sing
But I couldn't think of anything
And that was the hardest part
I could feel it go down
You left the sweetest taste in my mouth
You're silver lining the clouds
Oh and I
Oh and I
I wonder what it's all about
I wonder what it's all about
Everything I know is wrong
Everything I do, it's just comes undone
And everything is torn apart
Oh and it's the part
That's the hardest part
Yeah that's the hardest part
That's the hardest part"
246556,what-if,2005,coldplay,Rock,"What if there was no lie
Nothing wrong, nothing right
What if there was no time
And no reason, or rhyme
What if you should decide
That you don't want me there by your side
That you don't want me there in your life
What if I got it wrong
And no poem or song
Could put right what I got wrong
Or make you feel I belong
What if you should decide
That you don't want me there by your side
That you don't want me there in you life
Oooooooh that's right
Let's take a breath try to put it aside
Ooooooh that's right
How can you know it if you don't even try
Ooooooh that's right
Every step that you take
Could be your biggest mistake
It could bend or it could break
That's the risk that you take
What if you should decide
That you don't want me there in your life
That you don't want me there by your side
Oooooooh that's right
Let's take a breath try to put it aside
Ooooooh that's right
How can you know when you don't even try
Ooooooh that's right"
246557,white-shadows,2005,coldplay,Rock,"When I was a young boy I tried to listen
And I want to feel like that
Little white shadows blink and I missed em
Part of a system, a plan
If you ever feel like something's missing
Things you'll never understand
Little white shadows sparkle and glisten
Part of a system plan
All this noise, I'm waking up
All this space I'm taking up
All this sound is breaking up
Whoa oh
Maybe you'll get what you wanted
Maybe you'll stumble upon it
Everything you ever wanted
In a permanent state
Maybe you'll know when you see it
Maybe if you say it you'll mean it
And when you find it you'll keep it
In a permanent state
A permanent state
When I was a young boy I tried to listen
Don't you want to feel like that
You're part of the human race
All of the stars and the outer space
Part of the system plan
All this noise, I'm waking up
All this space I'm taking up
I cannot hear, you're breaking up
Whoa oh
Maybe you'll get what you wanted
Maybe you'll stumble upon it
Everything you ever wanted
In a permanent state
Maybe you'll know when you see it
Maybe if you say it, you'll mean it
And when you find it you'll keep it
In a permanent state
A permanent state
Swimming on a sea of faces
A tide of the human race
So, an answer now is what I need
I see it in the new sun rising
I see it break on your horizon
Oh come on love, stay with me"
246558,twisted-logic,2005,coldplay,Rock,"Sunlight, opened up my eyes
To see for the first time
It opened them up
And tonight, rivers will run dry
But not for the first time
Rivers will run
Hundreds of years in the future
There could be computers
Looking for life on Earth
Don't fight for the wrong side
Say what you feel like
Say how you feel
You'll go backwards, but then
You'll go forwards, again
You'll go backwards, but then
You'll go
Created, then drilled and invaded
If somebody made it
Someone will mess it up
And you are not wrong to
Ask who does this belong to?
It belongs to all of us
You'll go backwards, again
You'll go forwards, again
You'll go backwards, again
You'll go forwards
You'll go backwards, but then
You'll go forwards, again
You'll go backwards, but then
You'll go forwards"
246560,behind-the-public-masks,2005,coldplay,Rock,"As I walked past my grave in the fog
Observe her form, lying beside the stone
The letters she left in my name
Where I longed to speak the worst of my soul
I watch the tears that run down her face
Drop to the ground without ever knowing that
I crossed a wide ocean of change
Consumed by desperate despair all the way
Yet, despite every hollow remain that I've gone through
The ghost is always you, behind the chapel walls
Where my soul's laid to rest
There within a moment I understood
I the watcher, just a silent silhouette behind the gates
By god, one day, help me forgive myself
Yet, despite every hollow remain that I've gone through
The ghost is always you
She, the conspirator will guide my hands and cleanse my soul
Though I have remained silent, the search is over and I let go
I will find a voice to describe all the horror
Inside of my mind with determination
I'm just a servant to the silence, the silence I despise
Where in my heart beats a guiding voice?
A sullen hand to suffer my choice
And now, to decipher, the moment's gone
I finally understand my fate
And what has to come to be worth the pain
Ride the seas of change whatever I become
[Incomprehensible]
Like me, for that moment her face is gone
Life's lust, my only friend
No more the answers to force my own life to change
I crossed a wide ocean of change
Consumed by desperate despair all the way
Yet, despite every hollow remain that I've gone through
The ghost is always you
Breathing, 'cause the movement when life is gone
Still the silent silhouette, may my search be over and lend me to rest
I felt the anguish in that movement discovering me
But consequently give my tired soul to be separate
As I walked past my grave in the fog
Observe her form, lying beside the stone"
246561,square-one,2005,coldplay,Rock,"You're in control
Is there anywhere you want to go?
You're in control
Is there anything you want to know?
The future's for discovering
The space in which we're traveling
From the top of the first page
To the end of the last day
From the start in your own way
You just want somebody listening to what you say
It doesn't matter who you are
Under the surface trying to break through
Deciphering the codes in you
I need a compass, draw me a map
I'm on the top, I can't get back
Whoa whoa
The first line on the first page
To the end of the last page
From the start in your own way
You just want somebody listening to what you say
It doesn't matter who you are
It doesn't matter who you are
You just want
Somebody listening to what you say
Oh, you just want somebody listening to what you say
It doesn't matter who you are
It doesn't matter who you are
Is there anybody out there who
Is lost and hurt and lonely too
Are they bleeding all your colors into one?
And if you come undone
As if you've been run through
Some catapult it fired you
You wonder if your chance will ever come
Or if you're stuck in square one"
246563,irrepressible-surge,2005,coldplay,Rock,"why do you sell yourselfs for ransom??
what profit is there for you? don't you see the evil of the worlds? they try to weave nets of lies and lives. Rules of Deceit.
I seek only the Truth and God advices me. even though at the time is just space.
what profit is time for you?
Awake, Awake
and erase what is not so
open up and say the truth.
I will pursue it."
246564,talk,2005,coldplay,Rock,"Oh brother, I can't, I can't get through
I've been trying hard to reach you 'cause I don' know what to do
Oh brother, I can't believe it's true
I'm so scared about the future, and I wanna talk to you
Oh, I wanna talk to you
You can take a picture of something you see
In the future where will I be?
You can climb a ladder up to the sun
Or a write a song nobody has sung
Or do something that's never been done
Are you lost or incomplete?
Do you feel like a puzzle, you can't find your missing piece?
Tell me, how do you feel?
Well, I feel like they're talking in a language I don't speak
And they're talking it to me
So you take a picture of something you see
In the future where will I be?
You can climb a ladder up to the sun
Or write a song nobody has sung
Or do something that's never been done
Or do something that's never been done"
246565,bright-new-dawn,2005,coldplay,Rock,"Hold me tight dont let go
Forever be yours in this bright new dawn
Open up your eyes for a big new suprize
Listen to me now in the bright new dawn
Fixing whats wrong seeing the people who dont belong we will try to hide are dispise but it always comes out on the inside.
Corus: Nobody said it was easy together we can help change the world. come with me now on this island of love running away from all sivilization Open your eyes to a bright new dawn
Over all we have done good.
My heart is beating ever so quickly Dont shade your eyes from the bright new dawn"
246566,speed-of-sound,2005,coldplay,Rock,"How long before I get in?
Before it starts, before I begin?
How long before you decide?
Before I know what it feels like?
Where To, where do I go?
If you never try, then you'll never know
How long do I have to climb,
Up on the side of this mountain of mine?
Look up, I look up at night
Planets are moving at the speed of light
Climb up, up in the trees
Every chance that you get
Is a chance you seize
How long am I gonna stand
With my head stuck under the sand?
I'll start before I can stop
Before I see things the right way up
All that noise, and all that sound
All those places I have found
And birds go flying at the speed of sound
To show you how it all began
Birds came flying from the underground
If you could see it then you'd understand?
Ideas that you'll never find
All the inventors could never design
The buildings that you put up
Japan and China all lit up
The sign that I couldn't read
Or a light that I couldn't see
Some things you have to believe
But others are puzzles, puzzling me
All that noise, and all that sound
All those places I have found
And birds go flying at the speed of sound
To show you how it all began
Birds came flying from the underground
If you could see it then you'd understand
Ah when you see it then you'll understand?
All those signs, I knew what they meant
Some things you can invent
Some get made, and some get sent
Oh
Birds go flying at the speed of sound
To show you how it all began
Birds came flying from the underground
If you could see it then you'd understand
Ah, when you see it then you'll understand?"
246568,swallowed-in-the-sea,2005,coldplay,Rock,"You cut me down a tree
And brought it back to me
And that's what made me see
Where I was going wrong
You put me on a shelf
And kept me for yourself
I can only blame myself
You can only blame me
And I could write a song
A hundred miles long
Well, that's where I belong
And you belong with me
And I could write it down
Or spread it all around
Get lost and then get found
Or swallowed in the sea
You put me on a line
And hung me out to dry
And darling that's when I
Decided to go to sea
You cut me down to size
And opened up my eyes
Made me realize
What I could not see
And I could write a book
The one they'll say that shook
The world, and then it took
It took it back from me
And I could write it down
Or spread it all around
Get lost and then get found
And you'll come back to me
Not swallowed in the sea
Ooh, ooh
And I could write a song
A hundred miles long
Well, that's where I belong
And you belong with me
The streets you're walking on
A thousand houses long
Well, that's where I belong
And you belong with me
Oh what good is it to live
With nothing left to give
Forget but not forgive
Not loving all you see
Oh the streets you're walking on
A thousand houses long
Well that's where I belong
And you belong with me
Not swallowed in the sea
You belong with me
Not swallowed in the sea
Yeah, you belong with me
Not swallowed in the sea"
246569,low,2005,coldplay,Rock,"You see the world in black and white
No color or life
You think you'll never get it right
But you're wrong, you might
The sky could fall, could fall on me
The parting of the seas
But you mean more, mean more to me
Than any color I can see
All you ever wanted was love
But you never looked hard enough
It's never gonna give itself up
All you ever wanted to be
Living in perfect symmetry
Nothing is as down or as up
As us
You see the world in black and white
Nothing too bright
You see no meaning to your life
Yes you try
Yes you try
And all you ever wanted was love
But you never looked hard enough
It's never gonna give itself up
And all you ever wanted to be
Living in perfect symmetry
Nothing is as down or as up
And don't you want to see it come soon
Floating in a big white balloon
Or given your own silver spoon
Don't you want to see it come down
Enough of throwing your arms around
And saying not a moment too soon
'Cause I feel low
'Cause I feel low
Ooh
Yeah I feel low
Oh no
Oh ooh
'Cause I feel low
'Cause I feel low
Ooh
And I feel low
Oh no
Ooh"
246573,fix-you,2005,coldplay,Rock,"When you try your best but you don't succeed
When you get what you want but not what you need
When you feel so tired but you can't sleep
Stuck in reverse
When the tears come streaming down your face
When you lose something you can't replace
When you love someone but it goes to waste
Could it be worse?
Lights will guide you home
And ignite your bones
I will try to fix you
High up above or down below
When you're too in love to let it go
But if you never try you'll never know
Just what you're worth
Lights will guide you home
And ignite your bones
And I will try to fix you
Tears stream down your face
When you lose something you cannot replace
Tears stream down your face
And I
Tears stream down your face
I promise you I will learn from my mistakes
Tears stream down your face
And I
Lights will guide you home
And ignite your bones
And I will try to fix you"
246575,til-kingdom-come-hidden-track,2005,coldplay,Rock,"Steal my heart and hold my tongue
I feel my time, my time has come
Let me in, unlock the door
I've never felt this way before
And the wheels just keep on turning
The drummer begins to drum
I don't know which way I'm going
I don't know which way I've come
Hold my head inside your hands
I need someone who understands
I need someone, someone who hears
For you, I've waited all these years
For you I'd wait 'til kingdom come
Until my day, my day is done
And say you'll come and set me free
Just say you'll wait, you'll wait for me
In your tears and in your blood
In your fire and in your flood
I hear you laugh, I heard you sing
I wouldn't change a single thing
And the wheels just keep on turning
The drummers begin to drum
I don't know which way I'm going
I don't know what I'll become
For you I'd wait 'til kingdom come
Until my days, my days are done
And say you'll come and set me free
Just say you'll wait, you'll wait for me
Just say you'll wait, you'll wait for me
Just say you'll wait, you'll wait for me"
246576,some-kind-of-beauty,2005,coldplay,Rock,"I once found a ring,
Lying on the ground,
Smeagol came looking for it,
And he saw I had it,
Oouuchhh...
Oouuchhh...
The Smeagol just shanked me,
He wanted his ring,
His face was hideous,
But I thought it had,
Some kind of beauutyy,
Some kind of beauutyy,
Shoooshh,
He's back again,
He grabbed the wrong fish,
And wants revenge,
Oouuchhh...
Oouuchhh...
I was shot this time,
It was done with a glock nine,
I couldn't help but think again,
Of the ugly face that had,
Some kind of beauutyy,
Some kind of beauutyy,
Some kind of beauutyyyy."
246577,a-message,2005,coldplay,Rock,"My song is love
Love to the lovers shone
And it goes up
You don't have to be alone
Your heavy heart
Is made of stone
And it's so hard to see you, clearly
You don't have to be on your own
You don't have to be on your own
And I'm not gonna take it back
And I'm not gonna say I don't mean that
You're the target that I'm aiming at
And I'll get that message home
My song is love
My song is love I know
And I'm on fire for you, clearly
You don't have to be alone
You don't have to be on your own
And I'm not gonna take it back
And I'm not gonna say I don't mean that
You're the target that I'm aiming at
But I'm nothing on my own
Got to get that message home
And I'm not gonna stand and wait
Not gonna leave it until its much too late
On a platform I'm gonna stand and say
That I'm nothing on my own
And I love you, please come home
My song is love, is love I know
And I've got to get that message home"
246578,x-y,2005,coldplay,Rock,"Trying hard to speak and
Fighting with my weak hand
Driven to distraction
It's all part of the plan
When something is broken
And you try to fix it
Trying to repair it
Any way you can
I dive in at the deep end
You become my best friend
I want to love you but I don't know if I can
I know something is broken
And I'm trying to fix it
Trying to repair it
Any way I can
Ooh
You and me are floating on a tidal wave
Together
You and me are drifting into outer space
And singing
Ooh, ooh
You and me are floating on a tidal wave
Together
You and me are drifting into outer space
You and me are floating on a tidal wave
Together
You and me are drifting into outer space
And singing
Ooh, ooh, ooh, ooh"
246579,in-the-sun,2010,coldplay,Rock,"Lovers, keep on the road you're on
Runners, until the race is run
Soldiers, you've got to soldier on
Sometimes even right is wrong
They are turning my head out
To see what I'm all about
Keeping my head down
To see what it feels like now
But I have no doubt
One day, we're gonna get out
Tonight maybe we're gonna run
Dreaming of the Osaka sun
Oh, oh
Dreaming of when the morning comes
They are turning my head out
To see what I'm all about
Keeping my head down
To see what it feels like now
But I have no doubt
One day the sun will come out"
246580,i-miss-you,2010,coldplay,Rock,"A warning sign
I missed the good part then I realized
I started looking and the bubble burst
I started looking for excuses
Come on in
I've gotta tell you what a state I'm in
I've gotta tell you in my loudest tones
I started looking for a warning sign
When the truth is, I miss you
Yeah the truth is, that I miss you, so
A warning sign
You came back to haunt me and I realized
That you were an island and I passed you by
And you were an island to discover
Come on in
I've gotta tell you what a state I'm in
I've gotta tell you in my loudest tones
That I started looking for a warning sign
When the truth is, I miss you
Yeah the truth is, that I miss you so
And I'm tired I should not have let you go
Ooooooooooooooooo
So I crawl back into your open arms
Yes I crawl back into your open arms
And I crawl back into your open arms
Yes I crawl back into your open arms"
246581,wedding-bells,2010,coldplay,Rock,"Those wedding bells are ringing up upon that hill
And I don't wanna swallow such a bitter pill
You keep on moving but I stay still
But I always loved you and I always will
Days of no sleeping
Caked in mud
All kinds of poison in my blood
I lost the only thing I ever loved
Ooh
I heard them ringing and processioning by
Umbrellas in the clear blue sky
I saw you swimming in that sea of white
Ooh
And wedding bells ringing up upon that hill
And I don't wanna swallow such a bitter pill
You keep on moving, baby, I stay still
I always loved you and I always will
Ooh
I loved you and I say it still
I always loved you and I always will
Singing, la, la, la, la, la, la, la, la, la
If everything that went before didn't matter
So la, la, la, la, la, la, la, la, la
I always loved you and I always will"
246582,don-quixote,2010,coldplay,Rock,"Woooo Woo!
Woooo Woo Wooo
Woooo Woo!
So we left La Mancha
Headed out for higher plains
And Sancho Panza
Looking for adventure
Rocinante at the reigns
To the windmills answer
You'll never be lonely
You'll never be lonely ever again
You'll never be lonely
You'll never be lonely ever again
I heard you never get wet in Spanish rain
So he sent the doctor
For examining my brain
Said he's not too clever
When the world, when the world just seems
a little bit too cruel
Gonna leave it better
Gonna make one better
Eh!
So tell that princess
Tell that princess hide down the drain
Tell that princess you'll never be lonely again
I heard you never get wet in Spanish rain
I heard you never get wet in Spanish rain
Where the people sing...
Ol Ol Ol Ol... x 30940853094
...I heard you never get wet in Spanish Rain
I heard you never get wet in Spanish Rain
Ol Ol Ol Ol..."
246583,coldplay-2-6,2010,coldplay,Rock,add lyrics here
246584,christmas-lights,2010,coldplay,Rock,"Christmas night, another fight
Tears we cried a flood
Got all kinds of poison in
Of poison in my blood
I took my feet
To Oxford Street
Trying to right a wrong
Just walk away
Those windows say
But I can't believe she's gone
When you're still waiting for the snow to fall
Doesn't really feel like Christmas at all
Up above candles on air flicker
Oh they flicker and they float
But I'm up here holding on
To all those chandeliers of hope
Like some drunken Elvis singing
I go singing out of tune
Saying how I always loved you darling
And I always will
Oh when you're still waiting for the snow to fall
Doesn't really feel like Christmas at all
Still waiting for the snow to fall
It doesn't really feel like Christmas at all
Those Christmas lights
Light up the street
Down where the sea and city meet
May all your troubles soon be gone
Oh Christmas lights keep shining on
Those Christmas lights
Light up the street
Maybe they'll bring her back to me
Then all my troubles will be gone
Oh Christmas lights keep shining on
Oh Christmas lights
Light up the street
Light up the fireworks in me
May all your troubles soon be gone
Those Christmas lights keep shining on"
246585,spanish-rain,2010,coldplay,Rock,"Oooooh, eeh!
Oooooh, eeh, oooh!
Ooooh, eh!
So we left La Mancha,
Headed out for higher plains
Me and Sancho Panza
Looking for adventure,
Rosinante at the reigns,
To the windmills answer,
You'll never be lonely
You'll never be loney ever again
You'll never be lonely
You'll never be lonely again.
I heard you never get wet in Spanish Rain
So they sent the doctor
For examining my brain
Said : ""He's not too clever""
When the world, when the world just seems
A little bit too cruel
Gonna leave it better
Make one better . Hey!
So tell that princess
Tell that princess right down the train
Tell that princess : She'll never be lonely again
I heard you never get wet in Spanish Rain
Ooooh, eh!
Oooooh, eh, oo-oh....
Oooooh eh
I heard you never get wet in Spanish Rain..."
246586,life-is-for-living,2012,coldplay,Rock,"Now I never meant
To do you wrong
That's what I came here to say
But if I was wrong
Then I'm sorry
I don't let it stand in our way
As my head just aches
When I think of
The things that I shouldn't have done
But, life is for living
We all know
And I don't want to live it alone
Sing
Ah, ah, oh
Sing
Ah, ah, oh,
And just think
Ah, ah, oh
'Cause in the end
There's only us
And oh my friend
There's only love
And in the cave
They're timing us
'Cause in the end
There's only love"
246587,fix-you-frustrated-scientist-version,2012,coldplay,Rock,"When you try your best but you don't succeed
When you get what you want but not what you need
When you feel so tired but you can't sleep
Stuck in reverse
When the tears come streaming down your face
When you lose something you can't replace
When you love someone but it goes to waste
Could it be worse?
Lights will guide you home
And ignite your bones
And I will try to fix you
High up above or down below
When you're too in love to let it go
If you never try you'll never know
Just what you're worth
Lights will guide you home
And ignite your bones
And I will try to fix you
Tears stream down your face
When you lose something you cannot replace
Tears stream down your face
And I
Tears stream down your face
I promise you I will learn from all my mistakes
Tears stream down your face
And I
Lights will guide you home
And ignite your bones
And I will try to fix you"
246588,i-bloom-blaum,2006,coldplay,Rock,"Darling, those tired eyes
Go with me all the time.
And in the dead of night
Tell me you will be mine.
Where do you go to, pretty baby?
Where do you go to, when the night wins away.
Ask me so sweetly, what do I do?
Who do I sing for?
Well honey I sing about you.
You."
246589,swalloved-in-the-sea,2006,coldplay,Rock,"You cut me down a tree
And brought it back to me
And that's what made me see
Where I was going wrong
You put me on a shelf
And kept me for yourself
I can only blame myself
You can only blame me
And I could write a song
A hundred miles long
Well, that's where I belong
And you belong with me
And I could write it down
Or spread it all around
Get lost and then get found
Or swallowed in the sea
You put me on a line
And hung me out to dry
And darling that's when I
Decided to go to sea
You cut me down to size
And opened up my eyes
Made me realize
What I could not see
And I could write a book
The one they'll say that shook
The world, and then it took
It took it back from me
And I could write it down
Or spread it all around
Get lost and then get found
And you'll come back to me
Not swallowed in the sea
Ooh, ooh
And I could write a song
A hundred miles long
Well, that's where I belong
And you belong with me
The streets you're walking on
A thousand houses long
Well, that's where I belong
And you belong with me
Oh what good is it to live
With nothing left to give
Forget but not forgive
Not loving all you see
Oh the streets you're walking on
A thousand houses long
Well that's where I belong
And you belong with me
Not swallowed in the sea
You belong with me
Not swallowed in the sea
Yeah, you belong with me
Not swallowed in the sea"
246590,how-you-see-the-world,2006,coldplay,Rock,"Are you missing something?
Looking for something?
Tired of everything
Searching and struggling
Are you worried about it?
Do you wanna talk about it?
Oh You're gonna get it right some time
There's so much to be scared of
And not much to make sense of
Are you running in a circle?
You can't be too careful
And you can't relate it
'Cause it's complicated
Oh You're gonna get it right some time
You're gonna get it right some time
It's how you see the world
How many times can you see?
You can't believe what you learn
It's how you see the world
Don't you worry yourself
Your not gonna get hurt
Oh
Is there something missing?
There's nobody listening
Are you scared of what you don't know?
don't wanna end up on your own?
You need conversation
And information
Oh
Gonna get it right sometimes
You just wanna get it right sometimes
It's how you see the world
How many times have you heard?
You can't believe a word
It's how you see the world
Don't you worry yourself
'Cause nobody can learn
Oh
Oh
Oh
That's how you see the world
That's how you see the world"
246591,you-only-live-twice,2006,coldplay,Rock,"You only live twice
Oh, so it seems
One life for yourself
And one for your dreams
You drift through the years
And life seems stray
Till one dream appears
And love is its way
I'd love you to strangers
Ooh, beckon you on
Don't think of the danger
For a stranger is gone
This dream is for you
So pay the price
Make one dream come true
You only live twice"
246592,help-is-around-the-corner,2006,coldplay,Rock,"Stuck here
In the middle of no where
With a headache
And a heavy heart
Oh well nothing
Was going quite right here
And I'm tired
I can't play no part
Come on come on
Oh what a stake
I'm in
Come on come on
Why won't it just
Sake in
The help is just around the corner
For us
Oh my head
Just won't stop achin'
I'm sat here lickin' my ruins
I'm shattered
But I really doesn't matter
'Cause my rescue is gonna be here soon"
246593,warning-signs,2006,coldplay,Rock,"A warning sign
I missed the good part, then I realized
I started looking and the bubble burst
I started looking for excuses
Come on in
I've gotta tell you what a state I'm in
I've gotta tell you in my loudest tones
That I started looking for a warning sign
When the truth is
I miss you
Yeah the truth is
That I miss you so
A warning sign
It came back to haunt me, and I realized
That you were an island and I passed you by
When you were an island to discover
Come on in
I've gotta tell you what a state I'm in
I've gotta tell you in my loudest tones
That I started looking for a warning sign
When the truth is
I miss you
Yeah the truth is
That I miss you so
And I'm tired
I should not have let you go
(Oh oh oh)
So I crawl back into your open arms
Yes I crawl back into your open arms
And I crawl back into your open arms
Yes I crawl back into your open arms"
246594,life-is-for-living-hidden-track,2006,coldplay,Rock,"Now I never meant
To do you wrong
That's what I came here to say
But if I was wrong
Then I'm sorry
I don't let it stand in our way
As my head just aches
When I think of
The things that I shouldn't have done
But, life is for living
We all know
And I don't want to live it alone
Sing
Ah, ah, oh
Sing
Ah, ah, oh,
And just think
Ah, ah, oh
'Cause in the end
There's only us
And oh my friend
There's only love
And in the cave
They're timing us
'Cause in the end
There's only love"
246595,daylight,2002,coldplay,Rock,"To my surprise, and my delight
I saw sunrise, I saw sunlight
I am nothing in the dark
And the clouds burst to show daylight
Oh and the sun will shine
Yeah on this heart of mine
Oh and I realize
Who cannot live without
Oh come apart without
It
On a hilltop, on a sky-rise
Like a firstborn child
And at full tilt, and in full flight
Defeat darkness, breaking daylight
Oh and the sun will shine
Yeah on this heart of mine
Oh and I realized
Who cannot live without
Oh and come apart without
Daylight"
246596,in-my-place,2002,coldplay,Rock,"In my place, in my place
Were lines that I couldn't change
I was lost, oh yeah
I was lost, I was lost
Crossed lines I shouldn't have crossed
I was lost, oh yeah
Yeah how long must you wait for it?
Yeah how long must you pay for it?
Yeah how long must you wait for it?
Oh for it
I was scared, I was scared
Tired and under prepared
But I wait for it
If you go, if you go
Leave me down here on my own
Then I'll wait for you (yeah)
Yeah how long must you wait for it?
Yeah how long must you pay for it?
Yeah how long must you wait for it?
Oh for it
Sing it, please, please, please
Come back and sing to me, to me, me
Come on and sing it out, now, now
Come on and sing it out, to me, me
Come back and sing it
In my place, in my place
Were lines that I couldn't change
And I was lost, oh yeah, oh yeah"
